,episodes,rewards
0,1,-1028
1,2,-1053
2,3,-1021
3,4,-1020
4,5,-1011
5,6,-1016
6,7,-1017
7,8,-1019
8,9,-1016
9,10,-1040
10,11,-1043
11,12,-1042
12,13,-1052
13,14,-1031
14,15,-1026
15,16,-1070
16,17,-1016
17,18,-1050
18,19,-1034
19,20,-1006
20,21,-1056
21,22,-1018
22,23,-1154
23,24,-1015
24,25,-1047
25,26,-1051
26,27,-1030
27,28,-1013
28,29,-1022
29,30,-1010
30,31,-1028
31,32,-1080
32,33,-1015
33,34,-1075
34,35,-1019
35,36,-1018
36,37,-1023
37,38,-1045
38,39,-1017
39,40,-1012
40,41,-1045
41,42,-1015
42,43,-1047
43,44,-1011
44,45,-1012
45,46,-1021
46,47,-1012
47,48,-1013
48,49,-1018
49,50,-1033
50,51,-1044
51,52,-1007
52,53,-1010
53,54,-1019
54,55,-1015
55,56,-1016
56,57,-1032
57,58,-1011
58,59,-1044
59,60,-1017
60,61,-1026
61,62,-1025
62,63,-1008
63,64,-1047
64,65,-1019
65,66,-1024
66,67,-1018
67,68,-1066
68,69,-1140
69,70,-1105
70,71,-1041
71,72,-1064
72,73,-1034
73,74,-1058
74,75,-1022
75,76,-1056
76,77,-1007
77,78,-1010
78,79,-1016
79,80,-1011
80,81,-1020
81,82,-1014
82,83,-1059
83,84,-1010
84,85,-1033
85,86,-1013
86,87,-1024
87,88,-1009
88,89,-1032
89,90,-1096
90,91,-1026
91,92,-1048
92,93,-1024
93,94,-1044
94,95,-1042
95,96,-1045
96,97,-1060
97,98,-1035
98,99,953
99,100,-1032
100,101,-1103
101,102,-1015
102,103,-1021
103,104,-1037
104,105,-1162
105,106,-1042
106,107,-1022
107,108,-1035
108,109,-1014
109,110,-1012
110,111,-1044
111,112,-1043
112,113,-1047
113,114,-1035
114,115,-1027
115,116,-1032
116,117,-1017
117,118,-1015
118,119,-1020
119,120,-1047
120,121,-1034
121,122,-1006
122,123,-1048
123,124,-1007
124,125,-1035
125,126,-1017
126,127,-1012
127,128,-1022
128,129,-1032
129,130,-1015
130,131,-1038
131,132,-1035
132,133,-1019
133,134,-1059
134,135,-1059
135,136,-1010
136,137,-1046
137,138,-1047
138,139,-1009
139,140,-1039
140,141,-1035
141,142,-1011
142,143,-1048
143,144,-1043
144,145,-1013
145,146,-1010
146,147,-1048
147,148,-1024
148,149,-1009
149,150,-1008
150,151,-1045
151,152,-1021
152,153,-1015
153,154,-1039
154,155,-1067
155,156,-1024
156,157,-1013
157,158,-1014
158,159,-1035
159,160,-1047
160,161,-1007
161,162,-1035
162,163,-1025
163,164,-1016
164,165,-1028
165,166,-1017
166,167,-1052
167,168,-1022
168,169,-1023
169,170,-1017
170,171,-1030
171,172,-1030
172,173,-1009
173,174,-1020
174,175,-1063
175,176,-1030
